task_ids,text,labels,num_annotators
"[1, 3, 232, 41, 108, 7821, 174, 124, 445, 159]",I. Fogalom meghatározások,"{'5-Könnyen érthető': 11, '1-Nagyon nehezen érthető': 2}",13
"[160, 191, 2, 4, 233, 42, 201, 109, 7822, 175, 125, 446, 735]","e-azonosító szám: A Bank által kibocsátott virtuális kártyaszám, amely e-bank azonosító kártya kibocsátása esetén megegyezik az e-bank azonosító kártya számával. Az e-azonosító szám névre szóló, annak birtokosa csak természetes személy lehet.","{'4-Érthető': 10, '5-Könnyen érthető': 7, '3-Többé/kevésbé megértem': 2, '2-Nehezen érthető': 1}",20
"[736, 161, 192, 3, 5, 234, 43, 202, 110, 7823, 176, 126, 447]","e-bank azonosító kártya: A Bank által kibocsátott, bankkártyának nem minősülő műanyag lap, amely - mint távolról hozzáférést biztosító elektronikus fizetési eszköz - biztosítja, a PIN kód révén, kizárólag az Ügyfél/Felhasználó részére a K&H e-bank interneten keresztül történő igénybevételét. A Bank által kibocsátott azonosító kártya a Bank tulajdonát képezi. Az e-bank azonosító kártya névre szóló, annak birtokosa csak természetes személy lehet.","{'4-Érthető': 7, '5-Könnyen érthető': 2, '3-Többé/kevésbé megértem': 10, '2-Nehezen érthető': 1}",20
"[737, 162, 193, 4, 6, 235, 44, 203, 111, 7824, 177, 127]","Egyszer használatos jelszó: A Bank által az Ügyfél részére SMS üzenetben megküldött, egyszeri belépésre felhasználható jelszó.","{'4-Érthető': 2, '5-Könnyen érthető': 17}",19
"[128, 449, 738, 163, 194, 5, 7, 236, 45, 204, 112, 7825, 178]","Elektronikus banki művelet: Minden olyan megbízás és értesítés, amelyet az Ügyfél/Felhasználó közvetlenül számítógépes kommunikáció alkalmazásával, legalább részben elektronikus jelek formájában ad meg a Bank számára. Az elektronikus banki műveletek során az Ügyfél az aláírását a Bank által jóváhagyott formátumú személyazonosító kódolással helyettesíti.","{'1-Nagyon nehezen érthető': 1, '2-Nehezen érthető': 2, '5-Könnyen érthető': 3, '3-Többé/kevésbé megértem': 11, '4-Érthető': 4}",21
"[160, 1, 225, 291, 260, 102, 134, 104, 12, 209, 7922, 11379, 405, 694]","2. Ügyfélnek tekintendő az a természetes személy, jogi személy vagy jogi személyiséggel nem rendelkező szervezet, akinek az OTP Bank Nyrt. pénzügyi szolgáltatást (ideértve a kiegészítő pénzügyi szolgáltatást is) nyújt, vagy aki az OTP Bank Nyrt. befektetési szolgáltatási tevékenységét (ideértve a kiegészítő szolgáltatását is), vagy a vonatkozó jogszabályok alapján az OTP Bank Nyrt. által nyújtható egyéb szolgáltatását igénybe veszi, illetve aki ilyen szolgáltatás nyújtását kéri az OTP Bank Nyrt.-től.","{'4-Érthető': 4, '3-Többé/kevésbé megértem': 9, '2-Nehezen érthető': 6, '1-Nagyon nehezen érthető': 1}",20
"[161, 2, 226, 292, 261, 103, 135, 105, 13, 210, 7923, 11380, 406, 695]","4. Az OTP Bank Nyrt. az Üzletszabályzatban foglalt jogait és kötelezettségeit mindenkor a hatályos jogszabályok eltérést nem engedő rendelkezéseinek keretei között gyakorolja és teljesíti, az Üzletszabályzat bármely rendelkezése ennek megfelelően értelmezendő.","{'4-Érthető': 8, '1-Nagyon nehezen érthető': 1, '2-Nehezen érthető': 4, '3-Többé/kevésbé megértem': 7}",20
"[162, 3, 227, 293, 262, 104, 136, 106, 14, 211, 7924, 11381, 407, 696]","6. Amennyiben az OTP Bank Nyrt. valamely szolgáltatását megszünteti, az ezen szolgáltatásra az Ügyféllel kötött szerződést 30 napos felmondási idővel jogosult megszüntetni.","{'5-Könnyen érthető': 12, '4-Érthető': 8}",20
"[163, 4, 228, 294, 263, 105, 137, 107, 15, 212, 7925, 11382, 408, 697]","1. Az OTP Bank Nyrt. jogosult meggyőződni az Ügyfél, illetőleg képviselője személyazonosságáról. E célból kérheti, hogy az Ügyfél vagy képviselője személyazonosságát hitelt érdemlően igazolja.","{'5-Könnyen érthető': 9, '4-Érthető': 9, '3-Többé/kevésbé megértem': 1}",19
"[164, 5, 229, 295, 264, 106, 138, 108, 16, 213, 7926, 11383, 409, 698]",2. Az OTP Bank Nyrt. a pénzmosás és a terrorizmus finanszírozása megelőzéséről és megakadályozásáról szóló jogszabály szerinti ügyfél-azonosítás rendjéről hirdetményben tájékoztatja Ügyfeleit.,"{'5-Könnyen érthető': 10, '2-Nehezen érthető': 2, '4-Érthető': 5, '3-Többé/kevésbé megértem': 3}",20
"[165, 6, 230, 296, 265, 107, 139, 109, 17, 214, 7927, 11384, 410, 699]","3. Az OTP Bank Nyrt. - a telefonos csatornán, illetve az OTP Bank Nyrt. honlapján elérhető OTP Chat szolgáltatásban - a mindenkori Soft azonosítás keretében elérhető szolgáltatások köréről szóló Hirdetményekben meghatározott banki és egyéb műveletek lebonyolítását vállalja.","{'3-Többé/kevésbé megértem': 10, '2-Nehezen érthető': 3, '4-Érthető': 5, '5-Könnyen érthető': 2}",20
"[166, 7, 231, 297, 266, 108, 140, 110, 18, 215, 7928, 11385, 411, 700]","5. Az OTP Bank Nyrt. jogosult meggyőződni az Ügyfél képviselőjének képviseleti jogáról. E célból kérheti, hogy az Ügyfél képviselője képviseleti jogát hitelt érdemlően igazolja. Az OTP Bank Nyrt. a hozzá bejelentett képviselőket mindaddig az Ügyfél képviselőjének tekinti, amíg a képviseleti jog visszavonásáról vagy annak egyéb módon történő megszűnéséről szóló írásbeli értesítés az OTP Bank Nyrt. megfelelő szervéhez be nem érkezik. Amennyiben a képviseleti jogot igazoló okiratból kétséget kizáróan ki nem tűnik, úgy a képviselő képviseleti jogának korlátozása – jogszabály ellenkező rendelkezése hiányában – az OTP Bank Nyrt.-vel szemben hatálytalan.","{'1-Nagyon nehezen érthető': 4, '3-Többé/kevésbé megértem': 8, '2-Nehezen érthető': 8}",20
"[167, 8, 232, 298, 267, 109, 141, 111, 19, 216, 7929, 11386, 412, 701]","8. Az OTP Bank Nyrt. a nem Magyarország területén, és nem Magyarország joghatósága alatt készült meghatalmazást a III.8-9. pontban meghatározott formában fogad el. Az OTP Bank Nyrt. a külügyekért felelős miniszter által arra felhatalmazott konzul készítette konzuli tanúsítványt, valamint az arra felhatalmazott tiszteletbeli konzul által készített konzuli tanúsítványt Magyarország területén kiállított okiratnak tekinti.","{'2-Nehezen érthető': 11, '1-Nagyon nehezen érthető': 4, '3-Többé/kevésbé megértem': 3, '4-Érthető': 2}",20
"[168, 9, 233, 299, 268, 110, 142, 112, 20, 217, 7930, 11387, 413, 702]","13. A pénzügyi és egyéb szolgáltatók azonosítási feladatához kapcsolódó adatszolgáltatási háttér megteremtéséről és működtetéséről szóló 2021. évi XLIII. törvényben (a továbbiakban: Afad tv.) foglaltak alapján az OTP Bank Nyrt. a nyilvántartó szerv Afad tv. 14. § (1) bekezdés szerinti közzététele alapján megtagadja a „megbízhatatlan” minősítésű tényleges tulajdonosi adatokkal rendelkező adatszolgáltató által kezdeményezett, négymillió-ötszázezer forintot elérő összegű ügylet teljesítését.","{'4-Érthető': 1, '1-Nagyon nehezen érthető': 9, '3-Többé/kevésbé megértem': 2, '2-Nehezen érthető': 8}",20
"[169, 10, 234, 300, 269, 111, 143, 113, 21, 218, 7931, 11388, 414, 703]","1. Az OTP Bank Nyrt. és az Ügyfél szerződéses kapcsolataikban megfelelően együttműködnek és így a bankügylet szempontjából jelentős tényekről, azok változásáról egymást késedelem nélkül értesítik. Az OTP Bank Nyrt. az együttműködés és a tájékoztatás során az olyan Ügyfél magatartását veszi alapul, aki észszerűen tájékozottan, az adott helyzetben általában elvárható figyelmességgel és körültekintéssel jár el.","{'3-Többé/kevésbé megértem': 11, '2-Nehezen érthető': 3, '4-Érthető': 6}",20
"[704, 170, 11, 235, 270, 112, 144, 114, 22, 219, 7932, 11389, 415]","2. Az ügylettel összefüggő egymáshoz intézett kérdésekre kötelesek legkésőbb 30 napon belül választ adni, és felhívni egymás figyelmét az esetleges tévedésekre, mulasztásokra.","{'5-Könnyen érthető': 12, '2-Nehezen érthető': 1, '4-Érthető': 4, '3-Többé/kevésbé megértem': 2}",19
"[416, 705, 171, 12, 236, 271, 113, 145, 115, 23, 220, 11390]",3. Az OTP Bank Nyrt. bármilyen jog vagy tény fennállását igazoló okirat esetében kérheti 30 (harminc) napnál nem régebbi keltezésű eredeti példány rendelkezésre bocsátását.,"{'5-Könnyen érthető': 10, '3-Többé/kevésbé megértem': 5, '4-Érthető': 3}",18
"[417, 706, 172, 13, 237, 272, 114, 146, 116, 24, 221, 11391]","4. Az OTP Bank Nyrt. hatósági igazolványt és hatósági bizonyítványt az abban foglalt érvényességi idő lejártának napjáig fogad el. Amennyiben az adott ügyletre vonatkozó szerződés, üzletági üzletszabályzat vagy az Üzletszabályzat kifejezetten eltérően nem rendelkezik, érvényességi időt nem tartalmazó hatósági bizonyítványt az OTP Bank Nyrt. kizárólag 30 (harminc) napnál nem régebbi keltezéssel fogad el.","{'3-Többé/kevésbé megértem': 9, '4-Érthető': 4, '2-Nehezen érthető': 5}",18
"[11392, 418, 707, 173, 14, 238, 273, 115, 147, 117, 25, 222]","6. Amennyiben az adott ügyletre vonatkozó szerződés, üzletági üzletszabályzat vagy az Üzletszabályzat kifejezetten eltérően nem rendelkezik, akkor okiraton, nyilatkozaton, értesítésen papír alapú okiratot kell érteni. Az OTP Bank Nyrt. elektronikus okiratot a jogszabályok által előírt körben és a vonatkozó üzletági üzletszabályzatban, egyedi szerződésben meghatározott módon fogad el.","{'2-Nehezen érthető': 5, '4-Érthető': 8, '3-Többé/kevésbé megértem': 5}",18
"[11393, 419, 708, 174, 15, 239, 274, 116, 148, 118, 26, 223]","8. Az OTP Bank Nyrt. nem Magyarország területén, illetve nem Magyarország joghatósága alatt kiállított közokiratot - nemzetközi szerződés eltérő rendelkezése hiányában – kizárólag diplomáciai felülhitelesítéssel ellátott vagy a külföldön felhasználásra kerülő közokiratok diplomáciai vagy konzuli hitelesítésének (felülhitelesítésének) mellőzéséről Hágában, az 1961. október 5. napján kelt egyezmény kihirdetéséről szóló 1973. évi 11. törvényerejű rendelet szabályai szerinti Apostille-záradékkal ellátott formában fogad el.","{'1-Nagyon nehezen érthető': 8, '2-Nehezen érthető': 3, '5-Könnyen érthető': 1, '3-Többé/kevésbé megértem': 6}",18
"[224, 11394, 420, 709, 175, 16, 240, 275, 117, 149, 119, 27]","9. Amennyiben nemzetközi szerződés a külföldön kiállított okiratnak a 8. pontban meghatározottól eltérő formában való elfogadását írja elő, úgy a nemzetközi szerződés fennállását, hatályát és tartalmát az OTP Bank Nyrt. – az Ügyfél közreműködésével – vizsgálja. Ennek keretében az Ügyfelet az OTP Bank Nyrt. felkérheti az Ügyfél által hivatkozott nemzetközi szerződés megjelölésére, annak igazolására, hogy a nemzetközi szerződés személyi, tárgyi és időbeli hatálya az ügyben alkalmazandó, valamint annak közlésére, hogy mely okirati körre vonatkozóan írja elő a nemzetközi szerződés a 8. pontban meghatározottaktól eltérő okirati forma elfogadását.","{'1-Nagyon nehezen érthető': 3, '2-Nehezen érthető': 7, '4-Érthető': 4, '3-Többé/kevésbé megértem': 4}",18
"[225, 11395, 710, 176, 17, 241, 276, 118, 150, 120, 28]","10. Nem magyar nyelven kiállított okirat esetében az OTP Bank Nyrt. jogosult az Ügyféltől az okiratról az Országos Fordító és Fordításhitelesítő Iroda (OFFI), vagy magyarországi szakfordító, vagy szakfordító-lektor által készített hiteles fordítást kérni, amelynek költségei az Ügyfelet terhelik. A szakfordítótól és szakfordító lektortól származó fordítás esetén csatolni kell a szakfordítói és tolmácsi képesítést igazoló okmány másolatát.","{'4-Érthető': 8, '3-Többé/kevésbé megértem': 5, '5-Könnyen érthető': 3, '2-Nehezen érthető': 1}",17
"[226, 11396, 422, 711, 177, 18, 242, 277, 119, 151, 121, 29]","11. Írni nem tudó vagy nem képes személy írásbeli jognyilatkozata abban az esetben érvényes, ha azt közokirat vagy olyan teljes bizonyító erejű magánokirat tartalmazza, amelyen a nyilatkozó fél aláírását vagy kézjegyét bíróság vagy közjegyző hitelesíti, vagy amelyen ügyvéd ellenjegyzéssel vagy két tanú aláírással igazolja, hogy a nyilatkozó fél a nem általa írt okiratot előttük írta alá vagy látta el kézjegyével, vagy az okiraton lévő aláírást vagy kézjegyet előttük saját aláírásának vagy kézjegyének ismerte el. Az olvasni nem tudó, továbbá az olyan személy esetén, aki nem érti azt a nyelvet, amelyen az írásbeli nyilatkozatát tartalmazó okirat készült, az írásbeli jognyilatkozat érvényességének további feltétele, hogy magából az okiratból kitűnjön, hogy annak tartalmát a tanúk egyike vagy a hitelesítő személy a nyilatkozó félnek megmagyarázta.","{'1-Nagyon nehezen érthető': 4, '2-Nehezen érthető': 5, '4-Érthető': 4, '3-Többé/kevésbé megértem': 5}",18
"[227, 11397, 423, 712, 178, 19, 243, 278, 120, 122, 152, 30]","18. Az OTP Bank Nyrt. egyes, jogszabály által eltérő formához nem kötött, kötelezettségvállalással nem járó jognyilatkozatait a nyilatkozat megtételére jogosultak szkennelt aláírásainak dokumentumon történő elhelyezésével teszi meg.","{'1-Nagyon nehezen érthető': 2, '5-Könnyen érthető': 1, '3-Többé/kevésbé megértem': 5, '4-Érthető': 4, '2-Nehezen érthető': 6}",18
"[153, 228, 11398, 424, 713, 179, 20, 244, 279, 121, 123, 31]","21. Az OTP Bank Nyrt. a halál tényéről történő, hitelt érdemlő tudomásszerzést követően a képviselő rendelkezését nem teljesíti. Az Ügyfél elhalálozásának tényéről való tudomásszerzést megelőzően, de az Ügyfél halálát követően, a képviselő által kezdeményezett bármely rendelkezésnek az OTP Bank Nyrt. általi teljesítésével összefüggő minden költség, kár, illetve egyéb kötelezettség, jogkövetkezmény az örökösöket és a képviselőt terheli, azért az OTP Bank Nyrt. felelősséget nem vállal.","{'3-Többé/kevésbé megértem': 7, '4-Érthető': 8, '2-Nehezen érthető': 3}",18
"[32, 229, 11399, 154, 425, 714, 180, 21, 245, 280, 122, 124]","23.1 Az Ügyfél kijelenti, hogy ismeri és betartja az OTP Bankcsoport Szankciós Politikáját és az OTP Bank Nyrt. közreműködésével végrehajtott tranzakciókra mindenkor hatályos jogszabályokat.","{'5-Könnyen érthető': 8, '4-Érthető': 4, '3-Többé/kevésbé megértem': 5, '1-Nagyon nehezen érthető': 1}",18
"[33, 230, 11400, 426, 715, 155, 181, 22, 246, 281, 123, 125]","4. A kamat, jutalék, díj és költség - ha jogszabály, a szerződés, hirdetmény vagy üzletági üzletszabályzat eltérően nem rendelkezik - utólag a naptári negyedév utolsó napján esedékes. Ha a szerződés bármely ok miatt negyedév közben jár le vagy szűnik meg, az esedékesség ebben az időpontban bekövetkezik.","{'3-Többé/kevésbé megértem': 4, '5-Könnyen érthető': 6, '4-Érthető': 8}",18
"[34, 231, 11401, 427, 716, 156, 182, 23, 282, 247, 124, 126]","7. Az OTP Bank Nyrt. a jogszabályi előírásoknak megfelelően az egységes értékpapír hozam mutatót (EHM) is közzéteszi, amennyiben erre jogszabály alapján köteles. Az EHM az egyes értékpapír ajánlatok összehasonlítására, az Ügyfél megfelelő tájékoztatására szolgál.","{'5-Könnyen érthető': 2, '2-Nehezen érthető': 2, '4-Érthető': 6, '3-Többé/kevésbé megértem': 7}",17
"[248, 35, 232, 11402, 428, 717, 157, 183, 24, 283, 125, 127]","2. Az OTP Bank Nyrt. által vezetett számlák javára történő bármely fizetés (pl. postai befizetés, betételhelyezés, törlesztés stb.) teljesítésének időpontja az a nap, amelyen a pénz az OTP Bank Nyrt.-hez megérkezik, illetve a pénztárba befizetik.","{'4-Érthető': 6, '3-Többé/kevésbé megértem': 1, '5-Könnyen érthető': 10}",17
"[128, 36, 249, 233, 11403, 429, 718, 184, 25, 158, 284, 126]","1. Az OTP Bank Nyrt. az egyes Ügyfeleiről rendelkezésére álló minden olyan adatot, tényt, információt, amely az Ügyfél személyére, adataira, vagyoni helyzetére, üzleti tevékenységére, gazdálkodására, tulajdonosi, üzleti kapcsolataira, valamint számlájának egyenlegére, forgalmára, továbbá a bankkal kötött szerződésére vonatkozik, - az ügylet jellegétől függően – banktitokként, illetve értékpapírtitokként kezel. Természetes személyek ezen adatai vonatkozásában a személyes adatok védelmére vonatkozó szabályok is alkalmazandók.","{'2-Nehezen érthető': 4, '4-Érthető': 8, '3-Többé/kevésbé megértem': 5}",17
"[159, 129, 37, 250, 234, 11404, 430, 719, 185, 26, 285, 127]","2. A titoktartási kötelezettség – időbeli korlátozás nélkül – az OTP Bank Nyrt. minden vezető tisztségviselőjére és alkalmazottjára, valamint mindazokra vonatkozik, akik az Ügyfelekkel kapcsolatos információkhoz az OTP Bank Nyrt.-vel kapcsolatos tevékenységük során bármilyen módon jutottak hozzá.","{'1-Nagyon nehezen érthető': 1, '5-Könnyen érthető': 8, '4-Érthető': 5, '3-Többé/kevésbé megértem': 3}",17
"[128, 160, 130, 38, 235, 11405, 431, 720, 251, 186, 27, 286]","2. Az okmányok kiszolgáltatása és fizetés esetén az OTP Bank Nyrt. annak teljesít, akit iratainak megvizsgálása alapján az okmányok, illetve a fizetés elfogadására jogosultnak tart.","{'3-Többé/kevésbé megértem': 4, '4-Érthető': 6, '2-Nehezen érthető': 1, '5-Könnyen érthető': 5}",16
"[129, 161, 131, 39, 236, 11406, 432, 721, 252, 187, 28, 287]","3. Az OTP Bank Nyrt. elvárható gondossággal vizsgálja a személyazonosság, a képviseleti jogosultság vagy a meghatalmazás igazolására bemutatott okmányokat. Ezek valódiságáért, illetőleg hamis vagy hamisított voltának gondos vizsgálata melletti fel nem ismerhetőségéért nem vállal felelősséget. Az OTP Bank Nyrt. nem felel az elvárható gondos vizsgálat során sem felismerhető hamis vagy hamisított megbízás teljesítésének következményeiért.","{'3-Többé/kevésbé megértem': 8, '2-Nehezen érthető': 2, '4-Érthető': 5, '5-Könnyen érthető': 1}",16
"[288, 130, 162, 132, 237, 11407, 433, 722, 253, 188, 29]","2. Ha az Ügyfél a megbízásnak meghatározott időpontban való teljesítését igényli vagy az általános gyakorlattól eltérő teljesítést kíván, a megbízáson erre az OTP Bank Nyrt. figyelmét fel kell hívnia. A megbízásokat az Ügyfél olyan időpontban tartozik az OTP Bank Nyrt.-nek átadni, hogy a teljesítéshez szükséges idő az OTP Bank Nyrt. rendelkezésére álljon.","{'3-Többé/kevésbé megértem': 6, '4-Érthető': 7, '5-Könnyen érthető': 1, '2-Nehezen érthető': 1}",15
"[289, 131, 163, 133, 238, 11408, 434, 723, 254, 189, 30]","3. Ha az Ügyfél a teljesítéshez szükséges adatokat tévesen, hiányosan, vagy késedelmesen adja meg, az ebből eredő kárért az OTP Bank Nyrt. nem felel.","{'5-Könnyen érthető': 13, '3-Többé/kevésbé megértem': 1, '4-Érthető': 1}",15
"[290, 255, 132, 164, 134, 239, 11409, 435, 724, 190, 31]","5. Az Ügyfél terhére érkező fizetési megbízásokon a közlemény rovatban feltüntetett adatokat, vagy utasításokat – mivel azok a fizetés címzettjének szólnak – az OTP Bank Nyrt. nem vizsgálja, jogait és kötelezettségeit ezek nem érintik.","{'5-Könnyen érthető': 7, '1-Nagyon nehezen érthető': 1, '4-Érthető': 6, '3-Többé/kevésbé megértem': 1}",15
"[32, 256, 291, 133, 165, 135, 240, 11410, 436, 725, 191]","9. Felmondás esetén a bankszámla egyenlege és a nyilvántartott követelések esedékessé válnak, és az Ügyfél köteles az OTP Bank Nyrt.-t felmenteni minden olyan kötelezettség alól, amelyet az Ügyfél érdekében vagy az Ügyfél utasítása alapján vállalt. Ha az OTP Bank Nyrt. felmentése a kötelezettségek alól nem lehetséges, az Ügyfél köteles az OTP Bank Nyrt. által meghatározott biztosítékot nyújtani.","{'2-Nehezen érthető': 5, '3-Többé/kevésbé megértem': 4, '5-Könnyen érthető': 1, '4-Érthető': 5}",15
"[192, 33, 257, 292, 134, 166, 136, 241, 11411, 437, 726]",2. Az elhelyezett betétek kamata után fizetendő közterhek részletes szabályait külön Hirdetmény tartalmazza.,"{'4-Érthető': 4, '5-Könnyen érthető': 9, '2-Nehezen érthető': 1, '3-Többé/kevésbé megértem': 1}",15
"[193, 34, 258, 293, 135, 167, 137, 242, 11412, 438, 727]","5. Az Ügyfél kötelezettsége, hogy a betétként elhelyezett összeget a szerződésben vállalt időtartamig az OTP Bank Nyrt.-nél betétként tartsa. E kötelezettség megszegése a kamatra való jogosultság részbeni vagy egészbeni elvesztésével járhat.","{'3-Többé/kevésbé megértem': 4, '4-Érthető': 8, '5-Könnyen érthető': 2, '2-Nehezen érthető': 1}",15
"[194, 35, 259, 294, 136, 168, 138, 243, 11413, 439, 728]",6. A kamatot az OTP Bank Nyrt. a betétösszeg elhelyezésének napjától kezdődően számítja. Az utolsó kamatnap a betét lejáratát/felvételét megelőző nap.,"{'4-Érthető': 4, '5-Könnyen érthető': 8, '3-Többé/kevésbé megértem': 3}",15
"[195, 36, 260, 295, 137, 169, 139, 244, 11414, 440, 729]","8. Az OTP Bank Nyrt.-nél elhelyezhető különböző betétek fajtáiról, ezek elhelyezésének általános szabályairól és feltételeiről külön üzletági üzletszabályzatok rendelkeznek.","{'5-Könnyen érthető': 6, '4-Érthető': 7, '3-Többé/kevésbé megértem': 2}",15
"[196, 37, 261, 296, 138, 170, 140, 245, 441, 730]","11. Az OBA által nyújtott biztosítás nem terjed ki az olyan betétre, amelyről a bíróság jogerős ítélettel megállapította, hogy az abban elhelyezett összeg pénzmosásból származik, valamint a hitelintézet szavatoló tőkéjére, továbbá a hitelintézet által kibocsátott hitelviszonyt megtestesítő értékpapírra és saját váltóra.","{'4-Érthető': 4, '3-Többé/kevésbé megértem': 7, '2-Nehezen érthető': 1, '5-Könnyen érthető': 1, '1-Nagyon nehezen érthető': 1}",14
"[197, 38, 262, 297, 139, 171, 141, 246, 11416, 442, 731]","12. A XII. 10. a) és c) pontjától eltérően az OBA által nyújtott biztosítás kiterjed a helyi önkormányzat, valamint a helyi önkormányzat által alapított költségvetési szerv betétjére, amennyiben a tárgyévet két évvel megelőző évi beszámolója adatai alapján a helyi önkormányzat költségvetési főösszege nem haladja meg az ötszázezer eurót.","{'1-Nagyon nehezen érthető': 4, '3-Többé/kevésbé megértem': 6, '4-Érthető': 1, '2-Nehezen érthető': 4}",15
"[198, 39, 263, 298, 140, 172, 142, 247, 11417, 443, 732]","20. A betétekből kifizetés mindig a legrégebben elhelyezett összegből történik. Ez azt jelenti, ha egy betétben államilag garantált és az OBA által biztosított összeg is van, a kifizetések mindig az államilag garantált betétet csökkentik. A betétek jogfolytonos átvezetés esetén megőrzik garanciájukat, tehát az államilag garantált betétek továbbra is államilag garantáltak maradnak.","{'3-Többé/kevésbé megértem': 5, '2-Nehezen érthető': 8, '4-Érthető': 2}",15
